technology,window_number,window_start_date,window_end_date,days_since_launch,video_count,mean_sentiment,median_sentiment,sentiment_std,proportion_positive,proportion_negative,mean_views,mean_hyperbole,mean_complexity,dominant_topic,topic_diversity,mean_duration,mean_subscriber_count,dominant_category,category_diversity,prop_sci_tech,mean_like_ratio,mean_comment_ratio,sentiment_slope
Gemini,1,2023-06-07,2023-06-21,-182,2,0.4,0.4,0.282842712474619,1.0,0.0,3034.5,0.6499999999999999,0.35,Enthusiast/Reaction,0.3333333333333333,427.5,3525.0,People & Blogs,0.0625,0.5,0.019167463538740197,0.0025614056823377086,
Gemini,2,2023-06-21,2023-07-05,-168,5,0.6599999999999999,0.7,0.15165750888103094,1.0,0.0,26748.0,0.6199999999999999,0.48,Enthusiast/Reaction,0.3333333333333333,513.8,83643.0,Science & Technology,0.0625,0.8,0.01871522042582695,0.0031118785358368573,
Gemini,3,2023-07-05,2023-07-19,-154,7,0.7000000000000001,0.7,0.08164965809277264,1.0,0.0,56900.28571428572,0.5857142857142856,0.5142857142857143,Enthusiast/Reaction,0.5,475.57142857142856,96310.0,Science & Technology,0.0625,0.8571428571428571,0.014884618105667305,0.0016463618149848906,
Gemini,4,2023-07-19,2023-08-02,-140,9,0.5777777777777778,0.7,0.21666666666666665,1.0,0.0,10711.444444444445,0.4888888888888888,0.4,Enthusiast/Reaction,0.3333333333333333,480.8888888888889,85888.55555555556,Science & Technology,0.0625,0.8888888888888888,0.021991033482732684,0.0022096916988499876,0.15000000000000002
Gemini,5,2023-08-02,2023-08-16,-126,4,0.65,0.7,0.17320508075688767,1.0,0.0,9077.75,0.5499999999999999,0.425,Enthusiast/Reaction,0.3333333333333333,632.5,23750.5,Education,0.0625,0.5,0.10600205927621432,0.008828918198006925,0.05733333333333336
Gemini,6,2023-08-16,2023-08-30,-112,6,0.31666666666666665,0.4,0.44007575105505037,0.8333333333333334,0.16666666666666666,28021.166666666668,0.5166666666666667,0.45,Critical/Evaluative,0.5,520.3333333333334,255057.83333333334,Science & Technology,0.0625,0.8333333333333334,0.02163010629313725,0.002848299279012999,0.041777777777777796
Gemini,7,2023-08-30,2023-09-13,-98,4,0.725,0.75,0.09574271077563384,1.0,0.0,11701.75,0.6499999999999999,0.45,Enthusiast/Reaction,0.5,578.25,29157.5,Science & Technology,0.09375,0.5,0.02680296828634694,0.003430437429832502,-0.07366666666666666
Gemini,8,2023-09-13,2023-09-27,-84,8,0.475,0.6,0.291547594742265,1.0,0.0,4298.25,0.55,0.4125,Enthusiast/Reaction,0.5,1539.5,59779.375,Science & Technology,0.09375,0.625,0.03300130334614286,0.011049366085861628,-0.021111111111111136
Gemini,9,2023-09-27,2023-10-11,-70,8,0.75,0.8,0.07559289460184548,1.0,0.0,7464.625,0.65,0.45,Enthusiast/Reaction,0.5,517.5,332274.375,Science & Technology,0.09375,0.5,0.01782111224827166,0.004053249823301731,-0.013055555555555577
Gemini,10,2023-10-11,2023-10-25,-56,6,0.7000000000000001,0.8,0.24494897427831785,1.0,0.0,3053.5,0.6333333333333333,0.43333333333333335,Enthusiast/Reaction,0.3333333333333333,479.1666666666667,102564.33333333333,Science & Technology,0.0625,0.6666666666666666,0.02338412162467795,0.0022102600851260554,0.03583333333333333
